epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,184.165,0.37842,0.91633,0.7089,0.8724,0.97683,0.99197,0.995,0.98836,0.97683,0.99197,0.995,0.83652,0.24995,0.83404,0.77468,0.80727,0.000301435,0.000301435,0.000301435
73,186.996,0.35087,0.98806,0.67955,0.86846,0.97683,0.99197,0.995,0.98836,0.97683,0.99197,0.995,0.83652,0.24995,0.83404,0.77468,0.80727,0.000295494,0.000295494,0.000295494
74,190.116,0.39275,0.98117,0.72959,0.85667,0.97683,0.99197,0.995,0.98836,0.97683,0.99197,0.995,0.83652,0.24995,0.83404,0.77468,0.80727,0.000289271,0.000289271,0.000289271
75,192.911,0.35011,0.74668,0.79293,0.9324,0.97953,1,0.995,0.995,0.97953,1,0.995,0.8344,0.24477,0.75506,0.73898,0.80812,0.000282765,0.000282765,0.000282765
76,195.8,0.32095,0.85732,0.66359,0.85692,0.97953,1,0.995,0.995,0.97953,1,0.995,0.8344,0.24477,0.75506,0.73898,0.80812,0.000275976,0.000275976,0.000275976
77,198.861,0.40176,1.10945,0.81811,0.83743,0.97953,1,0.995,0.995,0.97953,1,0.995,0.8344,0.24477,0.75506,0.73898,0.80812,0.000268904,0.000268904,0.000268904
78,201.878,0.46252,1.08083,0.79377,0.92283,0.97936,1,0.995,0.98782,0.97936,1,0.995,0.8867,0.23691,0.69565,0.69563,0.8091,0.000261548,0.000261548,0.000261548
79,204.972,0.35115,0.94374,0.71773,0.90648,0.97936,1,0.995,0.98782,0.97936,1,0.995,0.8867,0.23691,0.69565,0.69563,0.8091,0.00025391,0.00025391,0.00025391
80,208.65,0.38956,1.11596,0.76503,0.8377,0.97936,1,0.995,0.98782,0.97936,1,0.995,0.8867,0.23691,0.69565,0.69563,0.8091,0.000245989,0.000245989,0.000245989
81,212.413,0.32899,0.8628,0.66862,0.90796,0.98502,1,0.995,0.98783,0.98502,1,0.995,0.89377,0.22206,0.65468,0.66354,0.80885,0.000237786,0.000237786,0.000237786
